"tau1","tau2","tau3","tau4","p1","p2","p3","p4","g1","g2","g3","g4","stabf"
2.959,3.08,8.381,9.781,3.763,-0.7826,-1.257,-1.723,0.6505,0.8596,0.8874,0.958,0
9.304,4.903,3.048,1.369,5.068,-1.94,-1.873,-1.255,0.4134,0.8624,0.5621,0.7818,1
8.972,8.848,3.046,1.215,3.405,-1.207,-1.277,-0.9205,0.163,0.7667,0.8394,0.1099,0
0.7164,7.67,4.487,2.341,3.964,-1.027,-1.939,-0.9974,0.4462,0.9767,0.9294,0.3627,0
3.134,7.609,4.944,9.858,3.526,-1.126,-1.846,-0.5543,0.7971,0.4554,0.6569,0.8209,0
6.999,9.109,3.784,4.268,4.43,-1.857,-0.6704,-1.902,0.2618,0.07793,0.5429,0.4699,1
6.71,3.765,6.929,8.819,2.397,-0.6146,-1.209,-0.574,0.1779,0.398,0.402,0.3766,0
6.954,1.379,5.719,7.87,3.224,-0.749,-1.187,-1.289,0.3714,0.6332,0.7327,0.3805,0
4.69,4.008,1.479,3.734,4.041,-1.41,-1.238,-1.393,0.2697,0.2504,0.1649,0.4824,1
9.841,1.414,9.77,7.642,4.728,-1.991,-0.8576,-1.879,0.3764,0.5444,0.792,0.1163,0